filename,ACI,ADI,Bio_Energy,Spectral_Centroid_Mean,Spectral_Flatness_Mean,ZCR_Mean,RMS_Mean,Event_Count,MFCC_1,MFCC_2,MFCC_3,MFCC_4,MFCC_5,MFCC_6,MFCC_7,MFCC_8,MFCC_9,MFCC_10,MFCC_11,MFCC_12,MFCC_13
EF_03.09.2024_20240903_203741.WAV,676.051,2.302585092994046,64894.61141103519,34366.41725428237,0.0004964973306225705,0.6920439613802559,0.0026075041,1036,-1113.7625408786212,-192.6107680799836,-161.28808370552883,234.90330942580775,-95.33109865361398,-0.26958074278751526,9.86512719788204,-11.276141682619281,24.85096441072218,-34.0202496083253,32.82826130727219,-19.853915484715472,-1.2085229188374258
EF_03.09.2024_20240903_203800.WAV,699.61194,2.302585092994046,285594.09332147497,34475.5475603503,0.00022315898693754394,0.6941315893197896,0.0029368056,4106,-1041.434578226577,-162.70169260248056,-119.80837972861305,207.90028094185172,-96.1897291689202,-10.763172215894798,23.528205766832155,-9.096853405547876,20.21821834560496,-35.02540178684276,29.392994747840493,-11.808418703082195,-5.069694011170059
EF_03.09.2024_20240903_203900.WAV,585.78406,2.302585092994046,233303.08610847272,34504.93373440059,0.00014894203220263463,0.6940915468939076,0.0023321973,4139,-1267.511166213871,-272.7298938095719,-239.6359286223077,299.3353983868222,-104.41703888836416,26.013855284019662,-21.4727644815003,-8.019130753906898,24.57334844262846,-29.8869449943043,40.85599598360455,-30.28488338226313,4.771684677880818
EF_03.09.2024_20240903_204000.WAV,522.21985,2.302585092994046,231000.1810925653,34532.069707763505,0.00014306975410665758,0.694417522238318,0.002310087,4136,-1390.0917815384214,-344.4955505994825,-332.3181331457894,328.2366888158878,-113.42382795009482,72.61434924272565,-36.96749441005325,0.059556556008570107,2.5325507119612,-28.17274068565376,41.467489839606095,-26.09351664917741,12.615501182089211
EF_03.09.2024_20240903_204100.WAV,526.90076,2.302585092994046,229775.4636248324,34532.2836533281,0.0001469548635499732,0.6943256200985526,0.0022979125,4098,-1390.6613172176865,-344.1769979514051,-332.06644065853186,328.07216800996497,-113.30188936461045,72.4920312135111,-37.006078523925936,0.03924640123938763,2.6570718098768404,-28.18925897593895,41.44862712987246,-26.143397452207005,12.659839836930688
EF_03.09.2024_20240903_204200.WAV,519.8287,2.2005521945122917,231269.31630244735,34538.60277788294,0.00014353936401860837,0.6946463231144698,0.0023138602,4141,-1386.483356804024,-342.32764393171124,-328.84887350352824,327.8971910006615,-113.03979470553833,70.99756474815909,-36.741670814165616,-0.6677272231301334,3.38383062543573,-28.080552186647864,41.79002842086277,-26.151301513585004,12.30448606330612
EF_03.09.2024_20240903_204300.WAV,517.2623,2.2778070890120485,230445.6428578949,34535.719221943975,0.00014306754716340346,0.6945717832978451,0.0023054385,4094,-1390.3204723455565,-344.2730598779971,-331.6608223394486,328.3489363771099,-113.40087378355587,72.31336222274568,-37.0146534728182,-0.061884093250285224,2.737658506496229,-28.130980315821706,41.460991486090066,-26.094938948917285,12.617747466672544
EF_03.09.2024_20240903_204400.WAV,517.72736,2.1694532195163694,230983.73483608407,34535.5291329413,0.0001426340896269322,0.6944153860362562,0.0023102087,4093,-1386.4484611925318,-342.2246500518202,-328.81848235348303,327.9138189844588,-112.86274359685952,70.89810196363496,-36.86104477872059,-0.6669233892469079,3.4322457156783037,-28.09345687872477,41.85368156478235,-26.17086432934775,12.342492857014234
EF_03.09.2024_20240903_204500.WAV,517.2932,2.24618745785397,230510.2673092342,34537.10789347573,0.00014321295231272492,0.6945033793807596,0.0023063668,4103,-1389.461374018769,-343.7798049276625,-331.1175577785571,328.19939139841875,-113.21464618032806,72.03919824854817,-37.0117042271193,-0.20908062999482263,2.937284499163157,-28.189880456373455,41.5181075614246,-26.034911592670017,12.556160177187635
EF_03.09.2024_20240903_204600.WAV,516.43176,2.267892344013411,230427.8680152405,34536.028246862035,0.00014280856356852788,0.6944846080732803,0.0023052746,4097,-1388.985703547473,-343.54672859423755,-330.6413277740019,328.104560151433,-113.16449019787922,71.91377628280527,-37.069395049401244,-0.31100161321796094,3.0249482918958397,-28.0321956378749,41.54809799415534,-26.18041492861666,12.556191398260935
EF_03.09.2024_20240903_204700.WAV,517.53534,2.273704633662784,230787.63921197838,34533.931766159054,0.00014285069971094747,0.6943618900824956,0.002308281,4106,-1390.967298030709,-344.86792150280456,-332.56761833214915,328.5228171475119,-113.53936481750101,72.72013914406264,-37.05196254781612,0.05814636878964285,2.5258236559726646,-28.092619803980945,41.38411689551445,-26.071773338410836,12.696096391874173
EF_03.09.2024_20240903_204800.WAV,516.6487,2.278651241412996,231052.71756713407,34536.16886163436,0.00014220073787371332,0.6943725256416969,0.0023115491,4142,-1391.1166526451514,-345.1904201208125,-332.7674232095922,328.52458070967805,-113.58552816336251,72.98249928039722,-37.18186072793869,0.11957182918773679,2.3689621521804423,-27.996049758227695,41.38959742628249,-26.090935453757567,12.681053477272501
EF_03.09.2024_20240903_204900.WAV,517.1541,2.279552574019458,230768.13148112406,34537.78020035773,0.00014203121359486988,0.6944352027192126,0.0023086825,4139,-1386.6584066541075,-342.23323209391646,-328.50904140496675,328.00265687535597,-112.90296582514108,70.76732134412855,-36.94705012020741,-0.6614837546685743,3.5589597491320757,-28.012265331983222,41.825116070285276,-26.284172908558393,12.275738095661104
